Doctor,Specialization,Prescription Count
Richard Thomas,Cardiology,101
William Anderson,Family Medicine,101
Susan Taylor,Internal Medicine,100
Mark Moore,Psychiatry,99
Karen Wilson,Pediatrics,99
Harper King,Endocrinology,0
Harper Roberts,Nephrology,0
Charlotte Jackson,Pediatric Pulmonology,0
Harper Taylor,Pediatric Pulmonology,0
David Martinez,Gastroenterology,0
Judith Cole,Rehabilitation Medicine,0
Jack Davis,Orthopedic Surgery,0
Sofia Young,Pediatric Neurology,0
Rochelle Knight,Pediatric Social Skills,0
Pamela Murphy,Pediatric Cardiology,0
Avery Hernandez,Pediatric Infectious Disease,0
Phillip Arnold,Pediatric Otolaryngology,0
Jackson Roberts,Cardiology,0
Mason Young,Pediatric Neurology,0
Matthew Rodriguez,Vascular Surgery,0
Joyce Wells,Pediatric Sports Medicine,0
Lily Roberts,Pediatric Pulmonology,0
Pearlie Wagner,Pediatric Horticulture Therapy,0
Kelly Sanders,Pediatric Surgery,0
Mason Anderson,Pediatric Cardiology,0
Ethan Roberts,Nephrology,0
Frederick Stephens,Pediatric Weight Management,0
Benjamin Taylor,Pediatric Neurology,0
Sofia Adams,Nephrology,0
Ronald Gonzalez,Hepatology,0
Zoe Allen,Pediatric Neurology,0
Ola Payne,Pediatric Traditional Medicine,0
Jennifer Butler,Reproductive Psychiatry,0
Grace Perez,Pediatric Neurology,0
Madison Moore,Pediatric Infectious Disease,0
Leroy Dunn,Pediatric Trauma,0
Jackson Garcia,Pediatric Rheumatology,0
Olivia Taylor,Pediatric Pulmonology,0
Bernice Stephens,Pediatric Orthotics,0
Gary Evans,Gynecologic Oncology,0
Zoe Hernandez,Orthopedic Surgery,0
Denise Kennedy,Pediatric Nephrology,0
Scarlett Roberts,Plastic Surgery,0
Mason Roberts,Cardiology,0
Margaret Anderson,Infectious Disease,0
Richard Fisher,Pediatric Anesthesiology,0
William Walker,Pediatric Pulmonology,0
Antonia Dunn,Pediatric Math Disorders,0
Patrick Cox,Movement Disorders,0
Harper Jackson,Plastic Surgery,0
Lori Grant,Pediatric Pathology,0
Liam Taylor,Pediatric Pulmonology,0
Charlotte Adams,Plastic Surgery,0
Carol Allen,Sleep Medicine,0
Ava Scott,Dermatology,0
Alton Knight,Pediatric Recreation Therapy,0
Eugene Ross,Pediatric Oncology,0
Grace Clark,Dermatology,0
Benjamin Taylor,Plastic Surgery,0
Yvonne Arnold,Pediatric Sickle Cell,0
Madison Roberts,Endocrinology,0
Olivia King,Orthopedic Surgery,0
Cynthia Roberts,Integrative Medicine,0
Madison Taylor,Endocrinology,0
Trudy Wagner,Pediatric Environmental Health,0
Russell Russell,Interventional Cardiology,0
Olivia Hernandez,Pediatric Pulmonology,0
Harper Roberts,Pediatric Pulmonology,0
Mark Moore,Psychiatry,0
Katherine Ford,Health Informatics,0
Benjamin Roberts,Pediatric Rheumatology,0
Avery Roberts,Dermatology,0
Claude Arnold,Pediatric Hearing Rehab,0
Judith Morris,Developmental Pediatrics,0
Benjamin Hernandez,Gastroenterology,0
Jerry Gardner,Pediatric Rheumatology,0
Ethan Taylor,Pediatric Infectious Disease,0
Olivia Hernandez,Pediatric Neurology,0
Thomas Martin,Geriatrics,0
Jacqueline Cruz,Pediatric Rehabilitation,0
Isabella Gonzalez,Pediatric Neurology,0
Irving Stephens,Pediatric Psychology,0
Amanda Gray,Electrophysiology,0
Emily Davis,Pediatric Endocrinology,0
Charlotte Jackson,Pediatric Pulmonology,0
Billy Hawkins,Pediatric Critical Care,0
Ethan Allen,Dermatology,0
Benjamin Roberts,Pediatric Infectious Disease,0
Donald Lopez,Nuclear Medicine,0
Elijah Young,Orthopedic Surgery,0
Inez Dunn,Pediatric Acupuncture,0
Diana Powell,Pediatric Urology,0
Jacob Allen,Endocrinology,0
Charlotte Moore,Orthopedic Surgery,0
Vincent Grant,Pediatric ADHD,0
Zoe Jackson,Plastic Surgery,0
Charlotte Young,Pediatric Neurology,0
Lucas Roberts,Cardiology,0
Lucas Hernandez,Pediatric Pulmonology,0
Benjamin Hernandez,Cardiology,0
Lucas Moore,Dermatology,0
Linda Rodriguez,Endocrinology,0
Benjamin Woods,Pediatric Radiology,0
Lucy Brown,Pediatric Surgery,0
Mason Taylor,Plastic Surgery,0
Pat Grant,Pediatric Language Delay,0
Eric Bell,Skull Base Surgery,0
Lily Moore,Orthopedic Surgery,0
Tina Matthews,Pediatric Ophthalmology,0
Zoe King,Endocrinology,0
Charlotte King,Orthopedic Surgery,0
Lisa Clark,Radiology,0
Nathan Freeman,Pediatric Pain Medicine,0
Ethan Taylor,Pediatric Surgery,0
Orville Arnold,Pediatric Animal Therapy,0
Arthur Kelly,Reproductive Urology,0
William Taylor,General Surgery,0
Olivia King,Plastic Surgery,0
Stacey Gardner,Pediatric Genetics,0
Mason White,Orthopedic Surgery,0
Mason Roberts,Dermatology,0
Laura Baker,Colorectal Surgery,0
Mason Roberts,Cardiology,0
Noel Stephens,Pediatric Ayurveda,0
Roy Washington,Addiction Psychiatry,0
Jack Gonzalez,Pediatric Hematology,0
Sofia Allen,Nephrology,0
Joy Hawkins,Pediatric Stroke,0
Amelia Wilson,Pediatric Rheumatology,0
Avery King,Cardiology,0
Kirk Gardner,Pediatric Prosthetics,0
Liam Allen,Psychiatry,0
Roger Bryant,Pediatric Cardiology,0
William White,Pediatric Infectious Disease,0
Charlotte Hernandez,Pediatric Infectious Disease,0
John Wilson,Pulmonology,0
Victoria Reynolds,Hyperbaric Medicine,0
Ava Hernandez,Rheumatology,0
Wilbert Hawkins,Pediatric Dyslexia,0
Teresa Richardson,Facial Plastic Surgery,0
Mason Taylor,Endocrinology,0
Louis Nichols,Pediatric Anesthesiology,0
Avery Young,Pediatric Neurology,0
Sofia Young,Cardiology,0
Kenneth Hall,Anesthesiology,0
Paula Tucker,Pediatric Transplant,0
Olivia White,Cardiology,0
Willa Grant,Pediatric Drama Therapy,0
Rachel Barnes,Gynecologic Surgery,0
Henry Harris,Plastic Surgery,0
Avery Hernandez,Endocrinology,0
Neil Matthews,Pediatric Cystic Fibrosis,0
Avery Young,Pediatric Ophthalmology,0
Ella Moore,Pediatric Pulmonology,0
George Perez,Interventional Radiology,0
Lucas Gonzalez,Plastic Surgery,0
Sterling Arnold,Pediatric Preventive Medicine,0
Emily Alexander,Traumatic Brain Injury,0
